x	y	pred_rf
684500	295500	NA
685500	295500	NA
686500	295500	NA
687500	295500	NA
688500	295500	NA
690500	295500	NA
691500	295500	NA
684500	294500	NA
685500	294500	NA
686500	294500	NA
687500	294500	NA
688500	294500	NA
690500	294500	NA
691500	294500	NA
692500	294500	NA
682500	293500	NA
683500	293500	NA
684500	293500	NA
685500	293500	NA
686500	293500	NA
687500	293500	NA
688500	293500	NA
690500	293500	NA
691500	293500	NA
692500	293500	NA
693500	293500	NA
679500	292500	NA
680500	292500	NA
681500	292500	NA
682500	292500	NA
683500	292500	NA
684500	292500	NA
685500	292500	NA
686500	292500	NA
687500	292500	NA
688500	292500	NA
690500	292500	NA
691500	292500	NA
692500	292500	NA
693500	292500	NA
677500	291500	NA
678500	291500	NA
679500	291500	NA
680500	291500	NA
681500	291500	NA
682500	291500	NA
683500	291500	NA
684500	291500	NA
685500	291500	NA
686500	291500	NA
687500	291500	NA
688500	291500	NA
689500	291500	NA
690500	291500	NA
691500	291500	NA
692500	291500	NA
693500	291500	NA
694500	291500	NA
695500	291500	NA
696500	291500	NA
677500	290500	NA
678500	290500	NA
679500	290500	NA
680500	290500	NA
681500	290500	NA
682500	290500	NA
683500	290500	NA
684500	290500	NA
685500	290500	NA
686500	290500	NA
687500	290500	NA
688500	290500	NA
689500	290500	NA
690500	290500	NA
691500	290500	NA
692500	290500	NA
693500	290500	NA
694500	290500	NA
695500	290500	NA
696500	290500	NA
697500	290500	NA
676500	289500	NA
677500	289500	NA
678500	289500	NA
679500	289500	NA
680500	289500	NA
681500	289500	NA
682500	289500	NA
683500	289500	NA
684500	289500	NA
685500	289500	NA
686500	289500	NA
687500	289500	NA
688500	289500	NA
689500	289500	NA
690500	289500	NA
691500	289500	NA
692500	289500	NA
693500	289500	NA
694500	289500	NA
695500	289500	NA
696500	289500	NA
697500	289500	NA
675500	288500	NA
676500	288500	NA
677500	288500	NA
678500	288500	NA
679500	288500	NA
680500	288500	NA
681500	288500	NA
682500	288500	NA
683500	288500	NA
684500	288500	NA
